CustomerID,InvoiceDate,Recency,Frequency,Monetary,R,F,M,RFM_Score,Segment
12403.0,2011-10-21 11:00:00,49,6,409.7,3,1,2,312,Others
12405.0,2011-07-14 08:52:00,148,54,1710.39,2,3,4,234,Others
12406.0,2011-11-17 19:22:00,21,108,3280.75,4,4,5,445,Big Spenders
12407.0,2011-10-21 10:11:00,49,77,1708.1200000000001,3,4,4,344,Others
12408.0,2011-11-07 12:30:00,32,113,2842.57,3,4,5,345,Big Spenders
12409.0,2011-09-22 10:38:00,78,114,11056.93,2,4,5,245,Big Spenders
12410.0,2011-02-11 15:47:00,300,28,681.0799999999999,1,2,3,123,At Risk
12412.0,2011-09-26 10:16:00,74,61,1226.88,2,4,4,244,Others
12413.0,2011-10-04 09:00:00,66,40,694.15,3,3,3,333,Others
12414.0,2011-05-06 14:51:00,216,18,562.41,1,2,3,123,At Risk
12415.0,2011-11-15 14:22:00,23,778,123725.45,4,5,5,455,Loyal
12417.0,2011-12-06 14:52:00,2,198,3578.8,5,5,5,555,Champion
12418.0,2011-08-19 11:08:00,112,34,668.58,2,3,3,233,Others
12420.0,2011-10-07 08:55:00,63,29,600.39,3,2,3,323,Others
12421.0,2011-11-24 09:07:00,15,46,806.27,4,3,3,433,Potential Loyalist
12422.0,2011-09-05 09:48:00,95,39,803.5600000000001,2,3,3,233,Others
12423.0,2011-12-09 10:10:00,0,126,1849.11,5,5,4,554,Loyal
12424.0,2011-06-30 12:06:00,162,30,1760.96,2,3,4,234,Others
12425.0,2011-09-22 17:31:00,77,36,777.2,2,3,3,233,Others
12426.0,2011-05-29 12:26:00,194,30,582.73,1,3,3,133,At Risk
12427.0,2011-11-28 10:48:00,11,35,708.37,4,3,3,433,Potential Loyalist
12428.0,2011-11-14 08:22:00,25,300,7877.2,4,5,5,455,Loyal
12429.0,2011-11-30 17:22:00,8,97,3750.4,5,4,5,545,Big Spenders
12430.0,2011-10-27 15:09:00,42,11,256.4,3,1,2,312,Others
12431.0,2011-11-04 11:55:00,35,240,6416.39,3,5,5,355,Loyal
12432.0,2011-10-28 11:43:00,42,108,5059.32,3,4,5,345,Big Spenders
12433.0,2011-12-09 10:02:00,0,420,13375.87,5,5,5,555,Champion
12434.0,2011-09-16 12:38:00,84,54,765.19,2,3,3,233,Others
12435.0,2011-09-21 09:06:00,79,36,7829.89,2,3,5,235,Big Spenders
12436.0,2011-09-01 12:09:00,99,16,509.01,2,2,3,223,Others
12437.0,2011-12-08 11:35:00,1,201,4896.66,5,5,5,555,Champion
12438.0,2011-11-25 13:28:00,13,98,2906.85,4,4,5,445,Big Spenders
12441.0,2010-12-08 10:45:00,366,11,173.55,1,1,1,111,At Risk
12442.0,2011-12-06 14:22:00,2,12,172.06,5,1,1,511,Others
12444.0,2011-11-18 13:23:00,20,177,5005.46,4,5,5,455,Loyal
12445.0,2011-11-17 18:43:00,21,4,133.4,4,1,1,411,Others
12446.0,2011-10-13 12:50:00,57,58,1002.3100000000001,3,3,4,334,Others
12447.0,2011-04-10 13:25:00,242,26,476.49,1,2,3,123,At Risk
12448.0,2011-10-26 13:46:00,43,22,449.45,3,2,2,322,Others
12449.0,2011-11-17 13:46:00,21,191,4067.29,4,5,5,455,Loyal
12450.0,2011-07-06 14:41:00,155,8,197.88,2,1,1,211,Others
12451.0,2011-11-29 08:40:00,10,355,8933.52,5,5,5,555,Champion
12452.0,2011-11-23 10:28:00,16,23,428.57,4,2,2,422,Potential Loyalist
12453.0,2011-07-28 14:08:00,133,43,707.09,2,3,3,233,Others
12454.0,2011-10-17 15:07:00,52,30,5.684341886080802e-14,3,3,1,331,Others
12455.0,2011-09-27 15:31:00,72,90,2466.86,2,4,5,245,Big Spenders
12456.0,2011-10-26 14:41:00,43,129,3153.89,3,5,5,355,Loyal
12457.0,2011-10-12 13:46:00,57,68,1917.78,3,4,4,344,Others
12458.0,2011-09-29 15:25:00,70,38,947.4,3,3,4,334,Others
12461.0,2011-09-06 16:57:00,93,35,826.88,2,3,3,233,Others
12462.0,2011-12-07 14:02:00,1,72,1124.01,5,4,4,544,Others
12463.0,2011-10-24 13:43:00,45,88,1303.63,3,4,4,344,Others
12464.0,2011-11-29 13:33:00,9,29,1212.05,5,2,4,524,Potential Loyalist
12465.0,2011-12-02 11:34:00,7,51,733.89,5,3,3,533,Potential Loyalist
12468.0,2011-07-19 13:42:00,142,40,724.0400000000001,2,3,3,233,Others
12471.0,2011-12-07 15:43:00,1,531,18740.92,5,5,5,555,Champion
12472.0,2011-11-09 11:33:00,30,391,6229.48,4,5,5,455,Loyal
12473.0,2011-11-10 13:48:00,28,179,2848.23,4,5,5,455,Loyal
12474.0,2011-11-22 14:39:00,16,457,7116.47,4,5,5,455,Loyal
12475.0,2011-10-17 10:10:00,53,36,723.38,3,3,3,333,Others
12476.0,2011-12-08 14:08:00,0,264,6546.58,5,5,5,555,Champion
12477.0,2011-11-17 09:51:00,22,308,13117.01,4,5,5,455,Loyal
12478.0,2011-12-06 09:56:00,3,36,680.99,5,3,3,533,Potential Loyalist
12479.0,2011-12-06 09:25:00,3,35,477.3,5,3,3,533,Potential Loyalist
12480.0,2011-11-11 14:52:00,27,154,3281.63,4,5,5,455,Loyal
12481.0,2011-11-17 08:29:00,22,218,5590.86,4,5,5,455,Loyal
12483.0,2011-11-22 17:03:00,16,81,2327.13,4,4,5,445,Big Spenders
12484.0,2011-11-07 11:37:00,32,350,4495.27,3,5,5,355,Loyal
12488.0,2011-11-30 08:50:00,9,55,1298.66,5,3,4,534,Potential Loyalist
12489.0,2011-01-07 13:13:00,335,15,334.93,1,2,2,122,At Risk
12490.0,2011-12-04 16:07:00,4,245,5417.93,5,5,5,555,Champion
12491.0,2011-11-01 12:18:00,38,26,460.40000000000003,3,2,2,322,Others
12492.0,2011-10-07 15:15:00,62,20,263.21000000000004,3,2,2,322,Others
12493.0,2011-06-27 10:17:00,165,23,416.79,2,2,2,222,Others
12494.0,2011-11-30 09:21:00,9,84,1139.3500000000001,5,4,4,544,Others
12497.0,2011-09-19 12:29:00,81,14,1043.1,2,1,4,214,Others
12498.0,2011-11-18 12:53:00,20,23,403.70000000000005,4,2,2,422,Potential Loyalist
12500.0,2011-11-16 16:20:00,22,65,4206.27,4,4,5,445,Big Spenders
12501.0,2011-01-28 13:54:00,314,160,2089.68,1,5,5,155,Loyal
12502.0,2011-09-05 11:52:00,95,147,3723.87,2,5,5,255,Loyal
12503.0,2011-01-06 11:51:00,337,1,-1126.0,1,1,1,111,At Risk
12504.0,2011-11-21 16:02:00,17,15,114.0,4,2,1,421,Potential Loyalist
12505.0,2011-02-11 13:39:00,300,1,-4.5,1,1,1,111,At Risk
12506.0,2011-04-21 08:54:00,232,23,73.5,1,2,1,121,At Risk
12507.0,2011-07-28 17:09:00,133,23,1258.06,2,2,4,224,Others
12508.0,2011-11-13 15:37:00,25,69,398.27,4,4,2,442,Others
12509.0,2011-02-28 14:45:00,283,7,176.5,1,1,1,111,At Risk
12510.0,2011-07-20 10:15:00,142,33,982.5699999999999,2,3,4,234,Others
12512.0,2011-10-04 14:55:00,65,34,138.03,3,3,1,331,Others
12513.0,2011-09-16 12:45:00,84,36,586.79,2,3,3,233,Others
12514.0,2011-03-17 16:38:00,266,51,1017.68,1,3,4,134,At Risk
12515.0,2010-12-21 15:43:00,352,16,383.7,1,2,2,122,At Risk
12516.0,2011-09-23 09:13:00,77,26,1312.06,2,2,4,224,Others
12517.0,2011-11-11 14:04:00,27,286,2464.89,4,5,5,455,Loyal
12518.0,2011-12-09 10:13:00,0,124,2056.89,5,4,5,545,Big Spenders
12519.0,2011-10-07 09:26:00,63,18,340.84,3,2,2,322,Others
12520.0,2011-09-21 15:23:00,78,155,2582.51,2,5,5,255,Loyal
12521.0,2011-07-20 10:51:00,142,38,599.68,2,3,3,233,Others
12522.0,2011-10-31 15:30:00,38,12,192.72,3,1,1,311,Others
12523.0,2011-12-08 11:46:00,1,110,1745.57,5,4,4,544,Others
12524.0,2011-11-30 15:31:00,8,144,4485.72,5,5,5,555,Champion
12526.0,2011-12-09 12:09:00,0,71,1316.66,5,4,4,544,Others
12527.0,2011-09-19 11:55:00,81,18,348.71000000000004,2,2,2,222,Others
12528.0,2011-11-30 14:40:00,8,95,1922.28,5,4,4,544,Others
12530.0,2011-10-11 12:34:00,59,68,1623.63,3,4,4,344,Others
12531.0,2011-11-25 11:12:00,14,17,125.22,4,2,1,421,Potential Loyalist
12532.0,2011-11-09 13:47:00,29,16,349.83000000000004,4,2,2,422,Potential Loyalist
12534.0,2011-08-01 10:26:00,130,63,1089.18,2,4,4,244,Others
12535.0,2011-09-09 08:48:00,91,34,716.35,2,3,3,233,Others
12536.0,2011-12-02 12:43:00,7,273,4106.82,5,5,5,555,Champion
12538.0,2011-11-10 17:16:00,28,21,363.95,4,2,2,422,Potential Loyalist
12539.0,2011-11-17 13:30:00,21,274,3852.5,4,5,5,455,Loyal
12540.0,2011-11-20 11:31:00,19,481,13309.039999999999,4,5,5,455,Loyal
12541.0,2011-11-10 10:40:00,29,52,981.18,4,3,4,434,Potential Loyalist
12544.0,2011-11-10 11:12:00,29,20,355.7,4,2,2,422,Potential Loyalist
12545.0,2011-09-25 13:39:00,74,50,1000.39,2,3,4,234,Others
12546.0,2011-10-24 12:09:00,46,70,1141.5,3,4,4,344,Others
12547.0,2011-05-26 12:38:00,197,8,207.79999999999998,1,1,1,111,At Risk
12548.0,2011-06-26 15:35:00,165,5,95.19999999999999,2,1,1,211,Others
12550.0,2011-09-21 14:35:00,78,57,964.83,2,3,4,234,Others
12551.0,2010-12-17 11:23:00,357,10,168.0,1,1,1,111,At Risk
12552.0,2011-11-01 10:02:00,38,20,437.82,3,2,2,322,Others
12553.0,2011-12-01 16:38:00,7,196,3652.25,5,5,5,555,Champion
12556.0,2011-10-20 13:06:00,49,121,603.71,3,4,3,343,Others
12557.0,2011-11-23 16:59:00,15,33,11990.960000000001,4,3,5,435,Big Spenders
12558.0,2011-12-08 10:14:00,1,22,1.0658141036401503e-14,5,2,1,521,Potential Loyalist
12559.0,2011-02-02 09:49:00,310,22,536.21,1,2,3,123,At Risk
12560.0,2011-12-04 13:54:00,4,111,2101.39,5,4,5,545,Big Spenders
12561.0,2011-02-10 11:39:00,302,16,238.85,1,2,2,122,At Risk
12562.0,2011-12-01 17:20:00,7,168,3781.7400000000002,5,5,5,555,Champion
12564.0,2011-03-23 14:55:00,260,21,456.9,1,2,2,122,At Risk
12565.0,2011-03-03 11:43:00,281,10,131.17,1,1,1,111,At Risk
12566.0,2011-09-28 09:57:00,72,20,346.7,2,2,2,222,Others
12567.0,2011-11-17 11:02:00,22,463,9114.94,4,5,5,455,Loyal
12569.0,2011-12-07 16:24:00,1,191,4064.9900000000002,5,5,5,555,Champion
12571.0,2011-10-31 10:19:00,39,34,519.61,3,3,3,333,Others
12572.0,2011-12-01 09:20:00,8,62,1004.72,5,4,4,544,Others
12573.0,2011-04-26 15:52:00,226,28,160.54000000000002,1,2,1,121,At Risk
12574.0,2011-01-28 09:20:00,315,11,218.45,1,1,1,111,At Risk
12576.0,2011-11-04 10:11:00,35,89,1306.98,3,4,4,344,Others
12577.0,2011-11-04 13:28:00,34,148,595.4,3,5,3,353,Loyal
12578.0,2011-11-18 13:30:00,20,120,2753.36,4,4,5,445,Big Spenders
12579.0,2011-09-27 13:57:00,72,31,410.72,2,3,2,232,Others
12580.0,2011-04-07 10:24:00,246,24,415.7,1,2,2,122,At Risk
12581.0,2011-10-31 08:56:00,39,15,197.71,3,2,1,321,Others
12582.0,2011-04-15 08:45:00,238,22,511.36,1,2,3,123,At Risk
12583.0,2011-12-07 08:07:00,2,251,7187.34,5,5,5,555,Champion
12584.0,2011-12-06 09:35:00,3,126,1893.95,5,5,4,554,Loyal
12585.0,2011-04-19 13:39:00,233,97,1982.81,1,4,4,144,At Risk
12586.0,2011-11-22 16:24:00,16,12,179.94000000000003,4,1,1,411,Others
12587.0,2011-12-02 12:47:00,7,4,144.0,5,1,1,511,Others
12588.0,2011-10-31 15:01:00,38,10,214.89999999999998,3,1,1,311,Others
12589.0,2011-11-11 10:19:00,28,35,646.68,4,3,3,433,Potential Loyalist
12590.0,2011-06-02 14:25:00,189,70,9861.38,1,4,5,145,At Risk
12591.0,2011-01-26 14:35:00,316,26,452.84999999999997,1,2,2,122,At Risk
12592.0,2011-09-08 15:04:00,91,18,437.6,2,2,2,222,Others
12593.0,2011-08-23 12:43:00,108,21,418.09999999999997,2,2,2,222,Others
12594.0,2011-11-02 12:20:00,37,119,3320.2200000000003,3,4,5,345,Big Spenders
12596.0,2011-10-19 13:02:00,50,27,618.27,3,2,3,323,Others
12597.0,2011-11-20 13:33:00,18,214,3683.13,4,5,5,455,Loyal
12598.0,2011-11-30 12:18:00,9,133,3002.68,5,5,5,555,Champion
12599.0,2011-11-10 13:34:00,28,62,1032.58,4,4,4,444,Others
12600.0,2011-11-11 10:29:00,28,65,2581.04,4,4,5,445,Big Spenders
12601.0,2011-06-03 10:17:00,189,29,569.5600000000001,1,2,3,123,At Risk
12602.0,2011-10-12 11:22:00,58,12,153.12,3,1,1,311,Others
12603.0,2011-11-18 10:42:00,21,3,739.1999999999999,4,1,3,413,Others
12604.0,2011-09-21 14:08:00,78,16,254.18,2,2,2,222,Others
12605.0,2010-12-09 15:41:00,364,3,-7.5,1,1,1,111,At Risk
12607.0,2011-10-12 16:17:00,57,202,3.552713678800501e-15,3,5,1,351,Loyal
12609.0,2011-09-22 16:34:00,77,60,1126.85,2,4,4,244,Others
12610.0,2011-11-17 09:34:00,22,111,2057.99,4,4,5,445,Big Spenders
12611.0,2011-10-18 13:12:00,51,65,1193.32,3,4,4,344,Others
12612.0,2011-10-13 12:12:00,57,21,643.59,3,2,3,323,Others
12613.0,2011-11-08 13:30:00,30,163,3218.98,4,5,5,455,Loyal
12614.0,2011-03-07 10:22:00,277,20,315.6,1,2,2,122,At Risk
12615.0,2011-12-07 15:02:00,1,105,2291.19,5,4,5,545,Big Spenders
12616.0,2011-09-15 17:02:00,84,36,657.25,2,3,3,233,Others
12617.0,2011-11-10 14:39:00,28,42,355.53,4,3,2,432,Potential Loyalist
12618.0,2011-11-18 11:10:00,21,11,177.31,4,1,1,411,Others
12619.0,2011-11-23 14:52:00,15,95,3214.81,4,4,5,445,Big Spenders
12620.0,2011-11-25 10:20:00,14,92,1339.41,4,4,4,444,Others
12621.0,2011-12-08 11:25:00,1,474,13612.07,5,5,5,555,Champion
12622.0,2011-04-21 16:39:00,231,11,180.1,1,1,1,111,At Risk
12623.0,2011-03-08 13:50:00,275,18,305.1,1,2,2,122,At Risk
12624.0,2011-08-25 15:04:00,105,38,641.13,2,3,3,233,Others
12625.0,2011-05-12 09:54:00,211,91,2614.32,1,4,5,145,At Risk
12626.0,2011-11-16 16:06:00,22,307,6388.35,4,5,5,455,Loyal
12627.0,2011-11-29 12:07:00,10,230,4478.53,5,5,5,555,Champion
12628.0,2011-12-05 13:15:00,3,43,769.61,5,3,3,533,Potential Loyalist
12630.0,2011-11-30 10:48:00,9,64,1270.88,5,4,4,544,Others
12631.0,2011-10-13 13:53:00,56,31,640.5,3,3,3,333,Others
12633.0,2011-10-12 11:40:00,58,103,2140.63,3,4,5,345,Big Spenders
12635.0,2011-09-11 11:04:00,89,101,1689.18,2,4,4,244,Others
12637.0,2011-10-03 13:46:00,66,394,5953.25,3,5,5,355,Loyal
12638.0,2011-11-06 13:11:00,32,39,671.69,3,3,3,333,Others
12639.0,2011-04-15 12:48:00,238,22,486.1,1,2,3,123,At Risk
12640.0,2011-11-16 11:52:00,23,53,1174.58,4,3,4,434,Potential Loyalist
12641.0,2011-08-16 13:26:00,114,10,185.9,2,1,1,211,Others
12642.0,2011-11-14 15:03:00,24,47,1013.26,4,3,4,434,Potential Loyalist
12643.0,2011-08-03 12:56:00,127,24,3344.64,2,2,5,225,Big Spenders
12644.0,2011-08-02 10:33:00,129,31,477.91,2,3,3,233,Others
12645.0,2011-11-06 12:38:00,33,74,1755.38,3,4,4,344,Others
12646.0,2011-12-05 10:14:00,4,45,1346.97,5,3,4,534,Potential Loyalist
12647.0,2011-11-17 12:56:00,21,128,3669.92,4,5,5,455,Loyal
12648.0,2011-07-08 11:55:00,154,21,318.05,2,2,2,222,Others
12649.0,2011-08-24 14:41:00,106,33,603.71,2,3,3,233,Others
12650.0,2011-12-06 16:34:00,2,20,314.44,5,2,2,522,Potential Loyalist
12651.0,2011-01-09 12:46:00,334,9,114.0,1,1,1,111,At Risk
12652.0,2011-01-21 17:01:00,321,51,914.53,1,3,4,134,At Risk
12653.0,2011-07-14 10:41:00,148,43,2209.85,2,3,5,235,Big Spenders
12654.0,2011-11-29 10:10:00,10,38,601.98,5,3,3,533,Potential Loyalist
12656.0,2011-11-22 13:42:00,16,130,3982.72,4,5,5,455,Loyal
12657.0,2011-11-28 15:47:00,10,56,1152.06,5,3,4,534,Potential Loyalist
12658.0,2011-11-21 10:22:00,18,36,686.05,4,3,3,433,Potential Loyalist
12659.0,2011-11-10 11:53:00,29,5,91.68,4,1,1,411,Others
12660.0,2011-11-28 13:26:00,10,13,245.1,5,1,2,512,Others
12662.0,2011-12-09 11:59:00,0,232,3817.08,5,5,5,555,Champion
12664.0,2011-12-01 17:07:00,7,38,4863.88,5,3,5,535,Big Spenders
12665.0,2011-01-19 08:34:00,324,4,61.75,1,1,1,111,At Risk
12666.0,2010-12-15 14:42:00,358,2,-227.44,1,1,1,111,At Risk
12667.0,2011-10-12 17:00:00,57,33,620.13,3,3,3,333,Others
12668.0,2011-12-02 15:10:00,6,168,3743.18,5,5,5,555,Champion
12669.0,2011-07-12 09:54:00,150,102,1607.73,2,4,4,244,Others
12670.0,2011-11-29 15:23:00,9,94,2986.15,5,4,5,545,Big Spenders
12672.0,2011-01-14 09:20:00,329,10,225.89999999999998,1,1,1,111,At Risk
12673.0,2011-12-04 13:55:00,4,42,610.52,5,3,3,533,Potential Loyalist
12674.0,2011-11-28 12:22:00,11,91,1919.31,4,4,4,444,Others
12676.0,2011-11-15 12:25:00,24,45,1331.39,4,3,4,434,Potential Loyalist
12678.0,2011-10-28 13:04:00,41,167,17588.26,3,5,5,355,Loyal
12679.0,2011-10-18 13:43:00,51,56,1058.67,3,3,4,334,Others
12680.0,2011-12-09 12:50:00,0,52,862.81,5,3,3,533,Potential Loyalist
12681.0,2011-11-25 11:35:00,14,646,13677.59,4,5,5,455,Loyal
12682.0,2011-12-06 10:00:00,3,525,12288.22,5,5,5,555,Champion
12683.0,2011-12-05 16:31:00,3,362,8221.09,5,5,5,555,Champion
12684.0,2011-12-02 09:53:00,7,105,2283.63,5,4,5,545,Big Spenders
12685.0,2011-11-11 13:46:00,27,157,2863.08,4,5,5,455,Loyal
12686.0,2010-12-03 09:51:00,371,7,89.14,1,1,1,111,At Risk
12688.0,2011-08-18 08:49:00,113,171,4873.8099999999995,2,5,5,255,Loyal
12689.0,2011-11-14 08:31:00,25,72,1247.61,4,4,4,444,Others
12690.0,2011-05-18 09:09:00,205,16,389.01,1,2,2,122,At Risk
12691.0,2011-11-11 16:49:00,27,32,1035.8,4,3,4,434,Potential Loyalist
12693.0,2011-08-11 09:16:00,120,41,830.96,2,3,3,233,Others
12694.0,2011-09-30 13:06:00,69,37,869.67,3,3,3,333,Others
12695.0,2011-12-02 13:22:00,6,27,582.1,5,2,3,523,Potential Loyalist
12697.0,2011-11-18 16:17:00,20,43,939.02,4,3,4,434,Potential Loyalist
12700.0,2011-12-02 10:49:00,7,270,4867.99,5,5,5,555,Champion
12701.0,2011-09-21 10:47:00,79,53,797.71,2,3,3,233,Others
12702.0,2011-11-20 10:36:00,19,12,219.0,4,1,1,411,Others
12703.0,2011-10-06 19:23:00,63,22,274.7,3,2,2,322,Others
12704.0,2011-12-02 13:15:00,6,90,2220.84,5,4,5,545,Big Spenders
12705.0,2011-11-24 13:17:00,14,348,6814.24,4,5,5,455,Loyal
12707.0,2011-02-21 08:38:00,291,33,603.42,1,3,3,133,At Risk
12708.0,2011-11-10 09:52:00,29,174,2616.32,4,5,5,455,Loyal
12709.0,2011-12-06 16:42:00,2,257,9294.1,5,5,5,555,Champion
12710.0,2011-09-04 12:00:00,96,79,1130.57,2,4,4,244,Others
12712.0,2011-11-17 09:15:00,22,142,4241.63,4,5,5,455,Loyal
12713.0,2011-12-09 12:16:00,0,38,848.55,5,3,3,533,Potential Loyalist
12714.0,2011-11-30 15:43:00,8,259,4708.86,5,5,5,555,Champion
12715.0,2011-08-25 15:22:00,105,21,353.86,2,2,2,222,Others
12716.0,2011-12-06 08:55:00,3,69,1053.49,5,4,4,544,Others
12717.0,2011-07-11 14:51:00,150,56,980.98,2,3,4,234,Others
12718.0,2011-09-29 16:38:00,70,19,238.25,3,2,2,322,Others
12719.0,2011-12-04 13:45:00,4,42,608.1,5,3,3,533,Potential Loyalist
12720.0,2011-12-07 08:03:00,2,359,5713.28,5,5,5,555,Champion
12721.0,2011-11-08 12:13:00,31,164,2628.98,4,5,5,455,Loyal
12722.0,2011-09-15 14:50:00,84,57,904.33,2,3,3,233,Others
12723.0,2011-12-06 10:19:00,3,69,725.07,5,4,3,543,Others
12724.0,2011-12-04 16:02:00,4,53,1031.41,5,3,4,534,Potential Loyalist
12725.0,2010-12-03 15:45:00,370,24,427.8,1,2,2,122,At Risk
12726.0,2011-11-11 13:35:00,27,124,2609.1,4,4,5,445,Big Spenders
12727.0,2011-11-29 11:46:00,10,141,3947.7,5,5,5,555,Champion
12728.0,2011-09-29 15:31:00,70,46,836.33,3,3,3,333,Others
12729.0,2011-08-18 11:40:00,113,26,453.01,2,2,2,222,Others
12731.0,2011-11-16 11:59:00,23,277,18793.41,4,5,5,455,Loyal
12732.0,2011-06-13 11:33:00,179,12,236.26000000000002,1,1,2,112,At Risk
12733.0,2011-04-19 16:19:00,233,22,383.95,1,2,2,122,At Risk
12734.0,2010-12-22 12:47:00,352,4,110.39999999999999,1,1,1,111,At Risk
12735.0,2011-01-28 13:37:00,314,43,779.5699999999999,1,3,3,133,At Risk
12736.0,2011-01-11 07:57:00,332,4,234.0,1,1,1,111,At Risk
12738.0,2010-12-02 18:27:00,371,11,155.35,1,1,1,111,At Risk
12739.0,2011-09-22 13:00:00,77,38,1013.04,2,3,4,234,Others
12740.0,2011-10-07 10:44:00,63,27,427.6,3,2,2,322,Others
12743.0,2011-07-28 16:21:00,133,134,546.43,2,5,3,253,Loyal
12744.0,2011-10-19 11:18:00,51,229,9120.39,3,5,5,355,Loyal
12747.0,2011-12-07 14:34:00,1,103,4196.01,5,4,5,545,Big Spenders
12748.0,2011-12-09 12:20:00,0,4642,29072.1,5,5,5,555,Champion
12749.0,2011-12-06 09:56:00,3,231,3868.2,5,5,5,555,Champion
12750.0,2011-08-03 09:13:00,128,15,275.88,2,2,2,222,Others
12752.0,2011-09-19 13:32:00,80,53,4366.78,2,3,5,235,Big Spenders
12753.0,2011-12-06 11:40:00,3,230,21024.01,5,5,5,555,Champion
12754.0,2011-04-18 09:00:00,235,65,2949.12,1,4,5,145,At Risk
12755.0,2011-04-04 10:12:00,249,6,2203.2,1,1,5,115,At Risk
12756.0,2011-09-14 09:31:00,86,4,112.07999999999998,2,1,1,211,Others
12757.0,2011-11-24 12:30:00,15,377,4227.7,4,5,5,455,Loyal
12758.0,2011-08-15 10:22:00,116,97,2791.59,2,4,5,245,Big Spenders
12759.0,2011-10-18 14:49:00,51,95,1531.44,3,4,4,344,Others
12762.0,2011-12-02 10:23:00,7,69,1898.52,5,4,4,544,Others
12763.0,2011-07-24 14:12:00,137,18,494.08,2,2,3,223,Others
12764.0,2011-01-27 10:19:00,316,45,1693.88,1,3,4,134,At Risk
12766.0,2011-12-06 08:46:00,3,310,6989.63,5,5,5,555,Champion
12769.0,2011-04-15 10:25:00,238,32,1143.6,1,3,4,134,At Risk
12770.0,2011-05-13 09:33:00,210,12,1351.45,1,1,4,114,At Risk
12772.0,2011-10-11 09:19:00,59,55,892.47,3,3,3,333,Others
12775.0,2011-11-22 16:33:00,16,67,1351.24,4,4,4,444,Others
